ID NerdMonster,ID Parceiro,Nome,Nome,Endereço,Número,Complemento,Bairro,CEP,Cidade,Estado,Latitude,Longitude,Descrição,Telefone,Website,Horários - Domingo,Horários - Segunda-Feira,Horários - Terça-Feira,Horários - Quarta-Feira,Horários - Quinta-Feira,Horários - Sexta-Feira,Horários - Sábado,Categoria,Última atualização
17302,398,Carrefour Hipermercado Guarulhos,BGU - Hiper - Guarulhos,Avenida Paulo Faccini,240,,Macedo,07111-070,Guarulhos,SP,"-23,4677485","-46,521188","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(11) 2468-7317,https://www.carrefour.com.br/localizador-de-lojas,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,Hipermercado,16/04/2021 15:10
17304,440,Carrefour Hipermercado Guarujá,GUA - Hiper - Jardim Bel Mar - Guarujá,Avenida Dom Pedro I,2131,,Jardim Bel Mar,11440-002,Guarujá,SP,"-23,9811526","-46,2316342",,(13) 3398-1117,https://www.carrefour.com.br/localizador-de-lojas,07:00-22:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,Hipermercado,26/04/2021 09:01
17305,125,Carrefour Hipermercado Esplanada,Hiper- Parque Bela Vista - Esplanada,Avenida Gisele Constantino,1870,,Pq Bela Vista,18110-650,Votorantim,SP,"-23,543251","-47,4664101",,(15) 3224-5555,https://www.carrefour.com.br/localizador-de-lojas,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,Hipermercado,07/05/2021 09:20
17306,136,Carrefour Hipermercado São José do Rio Preto,SJP - Hiper - São José do Rio Preto,Avenida Marginal Tancredo Neves,900,,Parque Industrial,15076-630,São José do Rio Preto,SP,"-20,832329","-49,355459","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(17) 3213-9120,https://www.carrefour.com.br/localizador-de-lojas,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,Hipermercado,22/05/2021 20:50
17310,106,Carrefour Hipermercado Tietê,SPT - Hiper - Vila Maria,Avenida Morvan Dias de Figueiredo,3177,,Vila Guilherme,02063-002,São Paulo,SP,"-23,5223062","-46,5993166",Devido à pandemia de Coronavírus (COVID-19) essa unidade está atuando com um horário de atendimento exclusivo para idosos (a partir de 60 anos): das 07h às 08h ,(11) 2634-9960,https://www.carrefour.com.br/localizador-de-lojas,08:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,08:00-22:00,Hipermercado,17/04/2021 14:07
17318,154,Carrefour Hipermercado Giovani Gronchi,SPG - Hiper - Giovani Gronchi,Avenida Alberto Augusto Alves,50,,Vila Andrade,05724-030,São Paulo,SP,"-23,6419976","-46,7346558","Devido à pandemia de Coronavírus (COVID-19) essa unidade está atuando com um horário de atendimento exclusivo para idosos (a partir de 60 anos): segunda a sábado das 06:30h às 07:30h, domingos e feriados das 7:00 às 8:00h",(11) 5853-2017,https://www.carrefour.com.br/localizador-de-lojas,08:00-21:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,Hipermercado,16/04/2021 15:00
17320,420,Carrefour Hipermercado Taubaté,Hiper - Barranco - Taubaté,Avenida Charles Schnneider,1750,,Barranco,12040-000,Taubaté,SP,"-23,0247457","-45,5774176","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(12) 3634-5601,https://www.carrefour.com.br/localizador-de-lojas,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,Hipermercado,02/06/2021 16:39
17321,110,Carrefour Hipermercado Anchieta ,SPA - Hiper - Anchieta,"Rodovia Anchieta, ",3398,,Jardim Maria Estela,04246-900,São Paulo,SP,"-23,6310064","-46,5989804",Devido à pandemia de Coronavírus (COVID-19) essa unidade está atuando com um horário de atendimento exclusivo para idosos (a partir de 60 anos): das 07h às 08h ,(11) 2969-2973,https://www.carrefour.com.br/localizador-de-lojas,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,Hipermercado,17/04/2021 14:30
17324,129,Carrefour Hipermercado São José dos Campos,SJC - Hiper - São José dos Campos,Avenida Deputado Benedito Matarazzo,5701,,Jardim Serimbura,12246-840,São José dos Campos,SP,"-23,2229963","-45,905952","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(12) 3946-6046,https://www.carrefour.com.br/localizador-de-lojas,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,Hipermercado,07/06/2021 14:10
17326,142,Carrefour Hipermercado Senador Vergueiro,SBC - Hiper - Senador Vergueiro,Avenida Senador Vergueiro,2000,,Jardim Três Marias,09750-000,São Bernardo do Campo,SP,"-23,6763737","-46,5547079","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(11) 4122-8039,https://www.carrefour.com.br/localizador-de-lojas,05:00-21:00,07:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,Hipermercado,02/06/2021 16:38
